institution,established,graduate,registered,enrolled,active
Ανωτάτη Σχολή Καλών Τεχνών,31/12/1836,136,2417,272,1529
Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,14/06/1925,5803,72628,7088,37054
ΑΣΠΑΙΤΕ,28/06/2002,179,3311,93,1882
Γεωπονικό Πανεπιστήμιο Αθηνών,22/01/1920,883,12846,883,6490
Δημοκρίτειο Πανεπιστήμιο Θράκης,27/07/1973,3547,36936,4050,20919
Διεθνές Πανεπιστήμιο της Ελλάδος,07/05/2019,2688,40510,3807,19297
Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,24/04/1837,7041,100303,7803,38998
Εθνικό Μετσόβιο Πολυτεχνείο,20/06/1857,1240,21269,1651,10965
Ελληνικό Ανοικτό Πανεπιστήμιο,21/09/1991,1577,12090,2522,9823
Ελληνικό Μεσογειακό Πανεπιστήμιο,07/05/2019,1320,20374,1506,8129
Ιόνιο Πανεπιστήμιο,07/03/1984,682,11028,1175,5934
Οικονομικό Πανεπιστήμιο Αθηνών,18/06/1920,1435,20543,1851,8895
Πανεπιστήμιο Αιγαίου,20/03/1984,1099,18567,2370,10607
Πανεπιστήμιο Δυτικής Αττικής,02/03/2018,3629,54718,5029,27529
Πανεπιστήμιο Δυτικής Μακεδονίας,07/05/2019,2481,39041,3385,15894
Πανεπιστήμιο Θεσσαλίας,20/03/1984,3783,38096,4746,21319
Πανεπιστήμιο Ιωαννίνων,12/12/1970,2780,31236,3152,17124
Πανεπιστήμιο Κρήτης,27/07/1973,1787,20256,1904,11750
Πανεπιστήμιο Μακεδονίας,28/09/1948,1655,12863,2072,8947
Πανεπιστήμιο Πατρών,11/11/1964,4289,51812,4667,27751
Πανεπιστήμιο Πειραιώς,22/12/1938,2263,25113,2375,10493
Πανεπιστήμιο Πελοποννήσου,01/02/2000,1672,26615,3063,14501
Πάντειον Πανεπιστήμιο Κοινωνικών και Πολιτικών Επιστημών,18/10/1934,2046,19909,1862,8643
Πολυτεχνείο Κρήτης,17/02/1977,459,6506,597,4068
Στρατιωτική Σχολή Ευελπίδων,21/12/1828,181,685,144,685
Σχολή Ικάρων,12/11/1964,73,487,162,487
Σχολή Ναυτικών Δοκίμων,24/11/1845,43,188,84,188
Χαροκόπειο Πανεπιστήμιο,27/08/1990,324,3510,446,2198
